Problem,Pooling Type,Sparse Sensors,Mean Absolute Error,Mean Relative Error,Max Absolute Error,Max Relative Error,Min Absolute Error,Min Relative Error
poisson,sag,1,2.2618823834750614,0.07530643800018566,6.675011196931264,0.2222679450582324,0.3713202471723046,0.013266890780185791
poisson,topk,1,2.3439139868766645,0.07874281989791079,6.308214261204628,0.22178242268035092,0.33987950046966925,0.012022057536581634
poisson,sag,3,0.5752932008491951,0.01910507197256485,1.3600273888361916,0.04515029328133779,0.149500960913674,0.005164873391350441
poisson,topk,3,0.6435230138317718,0.022029859611495325,1.7981906557606875,0.06918738359997088,0.17912015893832675,0.005858504521894484
poisson,sag,5,0.40474258439690325,0.01372162888450556,1.3691933324534469,0.05268123489102724,0.08880410742672969,0.00283393318989583
poisson,topk,5,1.1203890326842412,0.03938799936278344,7.205912728678001,0.27725549932637866,0.23214192891146093,0.007816594960249088
advection,sag,1,17.39831543415941,0.29050165788915266,99.61907436661966,0.6373735104163053,0.115050111734563,0.04610774300073259
advection,topk,1,19.96254167011775,0.37279754270204885,79.33275995018215,0.536844518794906,0.0881101912886311,0.0349558312171542
advection,sag,3,6.764544236123224,0.10887593420500484,35.07104557686828,0.21086260749064886,0.17691018994539107,0.05645814910952303
advection,topk,3,19.08277443504991,0.37130329271568685,81.19287518441031,0.5562556392859636,0.11906668276387208,0.03690699489718189
advection,sag,5,15.004021512923934,0.25205302548072317,68.06423852507871,0.46972202741832036,0.13890588219188632,0.04507321084571998
advection,topk,5,19.5406381852403,0.37905490441123396,85.9301432907913,0.5823546375016737,0.06533171250493103,0.02080738818466073
graetz,sag,1,1.468999041004204,0.03667368362484403,4.651331373134746,0.14132637706778103,0.2978600597362563,0.006520479818323846
graetz,topk,1,1.6895908058891738,0.04136763401864812,4.4154001198372566,0.13002903984099418,0.26994283496693755,0.00643859230477825
graetz,sag,3,1.426604377559689,0.03526505118915521,5.120265268767011,0.14213898220419494,0.2002532791631856,0.004472198179846455
graetz,topk,3,1.0183289810343386,0.025913124282132643,4.759900622475141,0.13287795671927233,0.2152511368180946,0.005026380607785629
graetz,sag,5,1.2787933409700585,0.03200767106535642,3.340221555791367,0.10226662314493586,0.2856883281983043,0.006542626765356956
graetz,topk,5,1.0484738297314045,0.026214081441267082,4.710055537182727,0.13148647533941327,0.17988262507692304,0.004389412906089544
navier_stokes_VX,sag,1,104.2412740739397,0.19323382391798086,627.8843336904691,1.0962222622848996,17.045066996729457,0.03425070764032312
navier_stokes_VX,topk,1,91.6278341280585,0.1697661525178081,264.08394841055485,0.4774388059118906,21.867593996392067,0.04189764487401207
navier_stokes_VX,sag,3,97.74119107662806,0.18073137486823498,298.1086480118815,0.4677382484809519,13.734027789397382,0.026313979448535748
navier_stokes_VX,topk,3,120.451738917689,0.2189007945543119,299.6834723066962,0.5024935975552154,20.951800001058682,0.04159327467974172
navier_stokes_VX,sag,5,104.92311983532076,0.18959466634082175,549.5093757299236,0.8621908644446024,12.650969102447926,0.025277841206503716
navier_stokes_VX,topk,5,83.5297743265451,0.15481390775720721,327.1320219012224,0.5132764848204326,14.768537017758588,0.028296067659791056
navier_stokes_VY,sag,1,13.080822439725003,0.43785693215131855,83.46692696072023,1.1346392672993677,3.1877558943166506,0.1536843564352097
navier_stokes_VY,topk,1,14.14823802916321,0.44225971093787636,85.94612424111224,1.1137781315115707,2.7991541476606723,0.13494954381957028
navier_stokes_VY,sag,3,13.926371020815903,0.4537139659591176,118.82444213527941,1.8683134208539192,2.717946338634061,0.13103444797110242
navier_stokes_VY,topk,3,11.720589003193872,0.4066762886241535,72.34994440056015,1.229794981781897,2.9778419981084623,0.14387700330500447
navier_stokes_VY,sag,5,10.53521218868684,0.37591258242679526,55.04748228264516,0.9146291530078886,2.6437010522375295,0.12745502111519355
navier_stokes_VY,topk,5,13.32563052919311,0.42818342216842514,123.58978795173248,1.8862883940738884,2.6942216817708315,0.12989066258020338
navier_stokes_P,sag,1,1912.2290550019225,0.3282793392300995,11917.058445630739,0.7968597975053339,405.68230976430306,0.07555996041649839
navier_stokes_P,topk,1,1461.6625000176955,0.31662016524783243,4317.605209716752,0.6901795622377246,591.5598074986287,0.05831195574472577
navier_stokes_P,sag,3,1104.3107630930572,0.2727559594571363,3171.4529014926497,1.139004390167853,270.84722070989193,0.06163869036306598
navier_stokes_P,topk,3,1398.2491473669681,0.316861332904145,4897.560374685715,1.2190270842625772,361.84939449361076,0.05767427530228135
navier_stokes_P,sag,5,1777.456501064874,0.34496723842566673,9085.289183473928,1.17439480732742,307.9504054527606,0.08378471341011073
navier_stokes_P,topk,5,1353.716737712046,0.3120407648481792,4584.164857095827,1.1701830861753795,376.74254529696475,0.05566066361638368
diffusion,sag,1,0.6459567044430025,0.12005693139608027,14.455264157182757,0.7823192529669472,1.9818226969148997e-09,0.003669324403922523
diffusion,topk,1,0.6487643422475917,0.12342255439041082,17.305964788250055,0.8419598974459892,9.298241290801926e-10,0.009682778663482898
diffusion,sag,3,0.02749098092277322,0.013074607967821431,1.3269458444782978,0.06455781002697289,4.856610570089154e-10,0.0022568164932285427
diffusion,topk,3,0.048520322944495625,0.01355218845338092,2.2542958100806727,0.10967470997959722,4.615038704346064e-10,0.0016872805775788925
diffusion,sag,5,0.0243779178744154,0.011976962964702204,1.0429956255633621,0.050743226435556704,4.801112638185589e-10,0.001799981456251938
diffusion,topk,5,0.04072840402585195,0.010287970427404442,1.9323784114714333,0.09401296888422994,3.0187480500718863e-10,0.003214349722871055
